name,season,status,tv_network,ano
Mom,,Renewed 3/13,CBS,2013
NCIS,SEASON 11,Renewed 3/13,CBS,2013
NCIS: Los Angeles,SEASON 5,Renewed 3/13,CBS,2013
Person of Interest,SEASON 3,Renewed 3/13,CBS,2013
Reckless,,Canceled 10/9/14,CBS,2013
Survivor,SEASONS  27 /  28,Renewed through season 30 on 12/12,CBS,2013
Two and a Half Men,SEASON 11,Renewed 3/13 for a 12th and final season,CBS,2013
Under the Dome,SEASON 2,Renewed 10/9/14,CBS,2013
Undercover Boss,SEASON 5,Renewed 3/13,CBS,2013
Unforgettable,SEASON 3,Canceled 10/11/14,CBS,2013
We Are Men,,Canceled 10/9 after 2 episodes,CBS,2013
The 100,,Renewed for a 2nd season on 5/8,The CW,2013
America's Next Top Model,SEASON 20,Renewed for a 21st cycle on 10/18,The CW,2013
Arrow,SEASON 2,Renewed for a 3rd season on 2/13,The CW,2013
Backpackers,,Canceled 7/23 after 2 episodes,The CW,2013
Beauty and the Beast,SEASON 2,Renewed for a 3rd season on 5/8,The CW,2013
The Carrie Diaries,SEASON 2,Canceled 5/8,The CW,2013
Famous in 12,,Canceled and pulled from schedule 7/2,The CW,2013
Hart of Dixie,SEASON 3,Renewed for a 3rd season on 5/8,The CW,2013
Masters of Illusion,Starts 8/1,Renewed for a 2nd season on 11/17/14,The CW,2013
Nikita,SEASON 4,Ending after a short 6-episode season,The CW,2013
The Originals,,Renewed for a 2nd season on 2/13,The CW,2013
Penn & Teller: Fool Us,,Renewed for a 2nd season on 11/17/14,The CW,2013
Reign,,Renewed for a 2nd season on 2/13,The CW,2013
Seed,,Canceled 7/23 after 2 episodes,The CW,2013
Star-Crossed,,Canceled 5/8,The CW,2013
Supernatural,SEASON 9,Renewed for a 10th season on 2/13,The CW,2013
The Tomorrow People,,Canceled 5/8,The CW,2013
The Vampire Diaries,SEASON 5,Renewed for a 6th season on 2/13,The CW,2013
Whose Line Is It Anyway?,SEASON 2,Renewed 7/18,The CW,2013
24,SEASON 9 (Live Another Day),12-episode mini-season,Fox,2013
Almost Human,,Canceled 4/29; all episodes have aired,Fox,2013
American Dad!,SEASON 9/10,Final season on  Fox; moves to  TBS in 2014-15,Fox,2013
American Idol,SEASON 13,Renewed for a 14th season on 5/8,Fox,2013
Bob's Burgers,SEASON 4,Renewed for a 5th season on 9/26,Fox,2013
Bones,SEASON 9,Renewed for a 10th season on 1/29,Fox,2013
Brooklyn Nine-Nine,,Renewed for a 2nd season on 3/7,Fox,2013
Cosmos: A Spacetime Odyssey,,Miniseries ending after its planned 1-season run,Fox,2013
Dads,,Canceled 5/7,Fox,2013
Enlisted,,Canceled 5/7,Fox,2013
Family Guy,SEASON 12,Renewed 5/12,Fox,2013
The Following,SEASON 2,Renewed for a 3rd season on 3/7,Fox,2013
Gang Related,,Canceled 9/2/14,Fox,2013
Glee,SEASON 5,Already renewed for a 6th and  final season,Fox,2013
Hell's Kitchen,SEASON 13,Renewed 5/12,Fox,2013
Hotel Hell,SEASON 2,,Fox,2013
"I Wanna Marry ""Harry""",,Canceled 6/12,Fox,2013
Kitchen Nightmares,SEASON 6,Voluntarily ended on  6/23,Fox,2013
Masterchef,SEASON 5,Previously renewed through season 6,Fox,2013
Masterchef Junior,,Renewed for season 2 on 12/19 and S3 on 3/5,Fox,2013
The Mindy Project,SEASON 2,Renewed for a 3rd season on 3/7,Fox,2013
Murder Police,,Canceled 10/8 before any episodes aired,Fox,2013
New Girl,SEASON 3,Renewed for a 4th season on 3/7,Fox,2013
Raising Hope,SEASON 4,Canceled 3/10; finale airs 4/4,Fox,2013
Rake,,Officially canceled 5/7,Fox,2013
Riot,,Canceled 6/12,Fox,2013
Short-Com Comedy Hour,Starts tbd midseason,Not on schedule; likely will never air,Fox,2013
The Simpsons,SEASON 24,"As of 10/4, renewed through 2015-16 season",Fox,2013
Sleepy Hollow,,Renewed for a 2nd season on 10/3,Fox,2013
So You Think You Can Dance,SEASON 11,Renewed for a 12th season on 11/17/14,Fox,2013
Surviving Jack,,Canceled 5/7,Fox,2013
Us & Them,,Canceled prior to broadcast; 6 eps will never air,Fox,2013
Wayward Pines,,Delayed to 2014-15 season,Fox,2013
The X Factor,SEASON 3,Canceled 2/7,Fox,2013
About a Boy,,Renewed for a 2nd season on 5/9,NBC,2013
America's Got Talent,SEASON 9,Renewed 7/13,NBC,2013
American Ninja Warrior,SEASON 5,Renewed 7/13,NBC,2013
American Dream Builders,,Fate uncertain; not included in 2014-15 schedule,NBC,2013
The Apprentice,SEASON 14 starts tbd,Celebrity edition;  delayed to 2014-15 season,NBC,2013
Believe,,Canceled 5/9,NBC,2013
The Biggest Loser,SEASON 15,Renewed on 5/11,NBC,2013
The Blacklist,,Renewed on 12/3,NBC,2013
Chicago Fire,SEASON 2,Renewed for a 3rd season on 3/19,NBC,2013
Chicago PD,,Renewed for a 2nd season on 3/19,NBC,2013
Community,SEASON 5,"Canceled 5/9, but picked up for a 6th season by Yahoo",NBC,2013
Crisis,,Canceled 5/9,NBC,2013
Crossbones,,Unofficially canceled 7/24; remaining 2 eps to air 8/2,NBC,2013
Dateline NBC,SEASON 23,Renewed on 5/11,NBC,2013
Dracula,,Canceled 5/10,NBC,2013
Food Fighters,,,NBC,2013
Grimm,SEASON 3,Renewed for a 3rd season on 3/19,NBC,2013
Growing Up Fisher,,Canceled 5/9,NBC,2013
Hannibal,SEASON 2,Renewed for a 3rd season on 5/9,NBC,2013
Hollywood Game Night,SEASON 2,Renewed for a 3rd season on 10/3/14,NBC,2013
Ironside,,Pulled from schedule on 10/18,NBC,2013
Last Comic Standing,SEASON 8,Renewed 7/13,NBC,2013
Law & Order: SVU,SEASON 15,Renewed for a 16th season on 5/7,NBC,2013
The Maya Rudolph Show,,Airs as a one-off special; may be extended to a series,NBC,2013
The Michael J. Fox Show,,Pulled from schedule 2/5; 7 eps unaired,NBC,2013
The Million Second Quiz,,"Omitted from 2014-15 schedule, presumed canceled",NBC,2013
The Night Shift,,Renewed for a 2nd season on 7/1,NBC,2013
Parenthood,SEASON 5,Renewed for a 6th (and final) season on 5/11,NBC,2013
Parks and Recreation,SEASON 6,Renewed for a 7th (and final) season,NBC,2013
Revolution,SEASON 2,Canceled 5/9,NBC,2013
Running Wild with Bear Grylls,,,NBC,2013
Sean Saves the World,,Canceled 1/28,NBC,2013
The Sing-Off,SEASON 4,Fate uncertain; not included in 2014-15 schedule,NBC,2013
Taxi Brooklyn,,,NBC,2013
Undateable,,Renewed 7/31,NBC,2013
The Voice,SEASONS 5 / 6,Renewed for a 7th season,NBC,2013
Wall of Fame,Starts tbd midseason,Not on schedule; likely will never air,NBC,2013
Welcome to the Family,,Pulled from schedule on 10/18,NBC,2013
Welcome to Sweden,,Renewed for a 2nd season on 8/4,NBC,2013
Working the Engels,,Canceled 8/20/14,NBC,2013
7  Deadly Sins,Starts 8/7,,SHO,2013
The Almighty Johnsons,,Syfy will air at least 2 seasons,SYFY,2013
Almost Royal,,Renewed for a 2nd season on 12/4,BBCA,2013
Alpha House,,Renewed for a 2nd season on 2/12,AMZN,2013
American Horror Story,SEASON 3,Renewed for a 4th season on 11/6,FX,2013
The Americans,SEASON 2,Renewed for a 3rd season on 4/16,FX,2013
The Approval Matrix,Starts 8/11,,SUND,2013
Archer,SEASON 5,Renewed for two more seasons on 3/6,FX,2013
Atlantis,,Renewed for a 2nd season on 11/27,BBCA,2013
The Awesomes,SEASON 2,Renewed for a 3rd season on 8/19/14,HULU,2013
Awkward,SEASON 4,,MTV,2013
Banshee,SEASON 2,Renewed for a 3rd season on 1/30,MAX,2013
Bates Motel,SEASON 2,Renewed for a 3rd season on 4/7,A&E,2013
Being Human,SEASON 4,Canceled 2/25; series finale airs 4/7,SYFY,2013
Betas,,,AMZN,2013
The Birthday Boys,,Renewed for a 2nd season on 3/20,IFC,2013
Bitten,,Renewed for a 2nd season on 5/30,SYFY,2013
Black Jesus,Starts 8/7,,ADSW,2013
Black Sails,,Renewed for a 2nd season on 7/26/13,STRZ,2013
The Bletchley Circle,SEASON 2,,PBS,2013
Boardwalk Empire,SEASON 4,Renewed for a 5th/final season on 9/26,HBO,2013
BoJack Horseman,Starts 8/22,,NETF,2013
The Boondocks,SEASON 4,Ending after this season,ADSW,2013
Breaking Bad,SEASON 5.5,Ending after this season,AMC,2013
The Bridge,SEASON 2,Canceled 10/21/14,FX,2013
Broad City,,Renewed for a 2nd season on 2/24,COM,2013
Burning Love,SEASONS  2 / 3,,E!,2013
Californication,SEASON 7,Ending after this 7th season,SHO,2013
Call the Midwife,SEASON 3,,PBS,2013
Chozen,,Canceled 5/14,FX,2013
Cold Justice,SEASON 1 / SEASON 2,Renewed for a 3rd season on 7/30,TNT,2013
Comedy Bang! Bang!,SEASON 2,Renewed for a 20-ep 3rd season on 10/14,IFC,2013
Comedy Bang! Bang!,SEASON 3,Renewed for a 40-ep 4th season on 3/20,IFC,2013
Continuum,SEASON 3,,SYFY,2013
Cougar Town,SEASON 5,Renewed for a 6th (and final) season on 5/10,TBS,2013
Covert Affairs,SEASON 5,,USA,2013
Da Vinci's Demons,SEASON 2,Renewed for a 3rd season on 5/6,STRZ,2013
Dallas,SEASON 3,Canceled 10/3/14,TNT,2013
Defiance,SEASON 2,Renewed for a 3rd season on 9/25/14,SYFY,2013
Derek,,Already renewed for a 2nd season,NETF,2013
Derek,SEASON 2,,NETF,2013
Devious Maids,SEASON 2,Renewed for a 3rd season on 9/26/14,LIFE,2013
The Divide,,Canceled 10/30/14,WE,2013
Doctor Who,SEASON 8 starts 8/23,,BBCA,2013
Doll & Em,,,HBO,2013
Dominion,,Renewed for a 2nd season on 9/25/14,SYFY,2013
Downton Abbey,SEASON 4,Renewed for a 5th season on 11/11,PBS,2013
Drunk History,SEASON 2,Renewed 7/25,COM,2013
Eastbound and Down,SEASON 4,Ending after this season,HBO,2013
Episodes,SEASON 3,Renewed for a 4th season on 12/11,SHO,2013
Falling Skies,SEASON 4,Renewed for a 5th/final season on 7/18,TNT,2013
Fargo,,Renewed for a 2nd season on 7/21,FX,2013
Finding Carter,,Renewed for a 2nd season on 8/19/14,MTV,2013
Franklin & Bash,SEASON 4,Canceled on 11/11/14,TNT,2013
From Dusk Till Dawn: The Series,,Renewed for a 2nd season on 3/26,ELREY,2013
Full Circle,,Renewed for a 2nd season on 8/20/14,DIREC,2013
Funniest Wins,,,TBS,2013
Game of Thrones,SEASON 4,Renewed for 2 additional seasons on 4/8,HBO,2013
Garfunkel & Oates,Starts 8/7,,IFC,2013
Getting On,,Renewed for a short 2nd season on 2/18,HBO,2013
Girl Meets World,,Renewed for a 2nd season on 8/6,DISN,2013
Girls,SEASON 3,Renewed for a 4th season on 1/9,HBO,2013
Graceland,SEASON 2,Renewed for a 3rd season on 11/11/14,USA,2013
Ground Floor,,Renewed for a 2nd season on 3/6,TBS,2013
Halt and Catch Fire,,Renewed for a 2nd season on 8/20/14,AMC,2013
Haven,SEASON 4,Renewed for 5th season on 1/28,SYFY,2013
"The Heart, She Holler",SEASON 2,Renewed for a 3rd season on 5/20,ADSW,2013
Helix,,Renewed for a 2nd season on 3/28,SYFY,2013
Hell on Wheels,SEASON 3,Renewed 11/14; summer debut for S4,AMC,2013
Hell on Wheels,SEASON 4,Renewed for 5th/final season on 11/10/14,AMC,2013
Hello Ladies,,"Canceled 1/23, but new finale special to air",HBO,2013
Hemlock Grove,SEASON 2,Renewed for a 3rd (and final) season on 9/2/14,NETF,2013
HitRecord on TV,,Renewed for a 2nd season on 1/11,PIVOT,2013
Homeland,SEASON 3,Renewed for a 4th season on 10/22,SHO,2013
The Honorable Woman,,Miniseries,SUND,2013
The Hotwives of Orlando,,,HULU,2013
House of Cards,SEASON 2,Renewed for a 3rd season on 2/4,NETF,2013
House of Lies,SEASON 3,Renewed for a 4th season on 2/18,SHO,2013
In the Flesh,SEASON 2,,BBCA,2013
Inside Amy Schumer,SEASON 2,Renewed for a 3rd season on 6/9,COM,2013
Intruders,Starts 8/23,,BBCA,2013
It's Always Sunny in Philadelphia,SEASON 9,Renewed through season 12 on 4/4,FXX,2013
Ja'mie: Private School Girl,,,HBO,2013
Jennifer Falls,,Canceled 10/3/14,TVLND,2013
Jonah from Tonga,Starts 8/8,,HBO,2013
Jonathan Strange and Mr. Norrell,,Delayed to next season (likely fall 2014),BBCA,2013
Justified,SEASON 5,Will return for a 6th and final season,FX,2013
Key & Peele,SEASON 3,Renewed  10/30; 10 more eps added 3/12,COM,2013
The Killing,SEASON 4,Short final season exclusive to Netflix,NETF,2013
Kirstie,,Canceled 7/29,TVL,2013
The Knick,Starts 8/8,Renewed for a 2nd season on 7/10,MAX,2013
Kroll Show,SEASON 2,Renewed for a 3rd season on 3/6,COM,2013
The Last Ship,,Renewed for a 2nd season on 7/18,TNT,2013
Last Tango in Halifax,SEASON 2,,PBS,2013
Last Week Tonight With John Oliver,,Renewed for a 2nd season on 11/10,HBO,2013
The League,SEASON 5,Already renewed for a 6th season,FXX,2013
The Leftovers,,Renewed for a 2nd season on 8/13/14,HBO,2013
Legends,,Renewed for a 2nd season on 12/4/14,TNT,2013
Legit,SEASON 2,Canceled 5/14,FXX,2013
Lilyhammer,SEASON 2,Renewed for a 3rd season on 1/13,NETF,2013
Longmire,SEASON 3,Canceled 8/28/14,A&E,2013
Looking,,Renewed for a 2nd season on 2/26,HBO,2013
The Lottery,,Canceled 10/17/14,LIFE,2013
Louie,SEASON 4,Renewed for a 5th season on 7/21,FX,2013
Low Winter Sun,,Canceled on 12/6,AMC,2013
Luther,SEASON 3,Final season; movie spin-off possible,BBCA,2013
Mad Men,SEASON 7,"7 eps to air in 2014, final 7 in spring 2015",AMC,2013
Major Crimes,SEASON 3,Renewed for a 4th season on 7/18,TNT,2013
Manhattan,,Renewed for a 2nd season on 10/15/14,WGN,2013
Maron,SEASON 2,Renewed for a 3rd season on 9/16/14,IFC,2013
Married,,Renewed for a 2nd season on 9/30/14,FX,2013
Masters of Sex,SEASON 1,Renewed for a 2nd season on 10/22,SHO,2013
Masters of Sex,SEASON 2,Renewed for a 3rd season on 8/20/14,SHO,2013
Matador,,Renewed for a 2nd season on 7/10,ELREY,2013
Mob City,,Canceled 2/10,TNT,2013
Mr. Selfridge,SEASON 2,,PBS,2013
Murder in the First,,Renewed for a 2nd season on 9/12/14,TNT,2013
The Musketeers,,Renewed for a 2nd season on 4/1,BBCA,2013
Mystery Girls,,,ABCF,2013
Nathan for You,SEASON 2,Renewed 7/25,COM,2013
The Newsroom,SEASON 3 starts tbd Fall 2014,Canceled 1/13; will end after 3rd season,HBO,2013
Nurse Jackie,SEASON 6,Renewed for a 7th season on 3/31,SHO,2013
Orange Is the New Black,SEASON 2,Renewed for a 3rd season on 5/5,NETF,2013
Orphan Black,SEASON 2,Renewed for a 3rd season on 7/9,BBCA,2013
Outlander,,,STRZ,2013
Owner's Manual,,,AMC,2013
The Paradise,,,PBS,2013
Partners,,,FX,2013
Penny Dreadful,,Renewed for a 2nd season on 6/4,SHO,2013
Perception,SEASON 3,,TNT,2013
Playing House,,Renewed for a 2nd season on 12/9/14,USA,2013
Please Like Me,SEASON 2 starts 8/8,Renewed for a 3rd season on 7/11,PIVOT,2013
Portlandia,SEASON 4,Already renewed for a 5th season,IFC,2013
Power,,Renewed for a 2nd season on 6/11,STRZ,2013
Pretty Little Liars,SEASON 5,Renewed for 2 more seasons on 6/10,ABCF,2013
Psych,SEASON 8,Canceled 2/5; series finale airs 3/26,USA,2013
Ravenswood,,Canceled 2/14,ABCF,2013
Ray Donovan,SEASON 2,Renewed for a 3rd season on 8/20/14,SHO,2013
Rectify,SEASON 2,Renewed for a 3rd season on 8/19/14,SUND,2013
The Red Road,,Renewed for a 2nd season on 4/28,SUND,2013
The Returned,,2nd season picked up for U.S. on 1/11,SUND,2013
Review,,Renewed for a 2nd season on 6/9,COM,2013
Rick and Morty,,Renewed for a 2nd season on 2/12,ADSW,2013
Ripper Street,SEASON 2,Uncanceled 2/26 and renewed for S3,BBCA,2013
Rizzoli & Isles,SEASON 5,Renewed for a 6th season on 12/9/14,TNT,2013
Rogue,SEASON 2,Renewed for 2 additional seasons on 8/12/14,DIREC,2013
Royal  Pains,SEASON 6,Renewed for 2 additional seasons on 11/5/14,USA,2013
Rush,,Canceled 10/2/14,USA,2013
Saint George,,,FX,2013
Salem,,Renewed for a 2nd season on 5/5,WGN,2013
Satisfaction,,Renewed for a 2nd season on 10/2/14,USA,2013
Shameless,SEASON 4,Renewed for a 5th season on 2/18,SHO,2013
Sherlock,SEASON 3,Renewed for a 4th season on 7/2,PBS,2013
Silicon Valley,,Renewed for a 2nd season on 4/21,HBO,2013
Sirens,,Renewed for a 2nd season on 6/12,USA,2013
Sons of Anarchy,SEASON 6,Renewed for a 7th season on 12/11,FX,2013
South Park,SEASON 17,Already renewed through 2016,COM,2013
The Spoils of Babylon,,Sequel ordered 7/7; will air in summer 2015,IFC,2013
The Strain,,Renewed for a 2nd season on 8/19/14,FX,2013
Strike Back,SEASON 4 starts tbd 2014,Final  season delayed to 2015 due to star's injury,MAX,2013
Suits,SEASON 3,Renewed for a 4th season on 10/24,USA,2013
Suits,SEASON 4,Renewed for a 5th season on 8/11/14,USA,2013
Teen Wolf,SEASON 4,Renewed for 20-ep. 5th season on 7/24,MTV,2013
Those Who Kill,,Axed 3/12 after  2 eps (remaining eps on LMN),A&E,2013
Tim & Eric's Bedtime Stories,,Delayed to fall,ADSW,2013
Treme,SEASON 4,Ending after this short 5-episode season,HBO,2013
TripTank,,Renewed for a 2nd season on 6/9,COM,2013
True Blood,SEASON 7,Final 10-ep. 7th season in summer 2014,HBO,2013
True Detective,,Renewed for a 2nd season on 9/23,HBO,2013
Turn,,Renewed for a 2nd season on 6/23,AMC,2013
Tyrant,,Renewed for a 2nd season on 9/18/14,FX,2013
Veep,SEASON 3,Renewed for a 4th season on 4/21,HBO,2013
Vice,SEASON 2,Renewed for 2 additional seasons on 5/7,HBO,2013
Vicious,,Already renewed in the UK,PBS,2013
Vikings,SEASON 2,Renewed on 3/25,HIST,2013
The Walking Dead,SEASON 4,Renewed on 10/29,AMC,2013
Wallander,SEASON 4 starts tbd 2014,,PBS,2013
Warehouse 13,SEASON 5,Ending after this short 6-episode season,SYFY,2013
White Collar,SEASON 5,Renewed for a final 6-episode season,USA,2013
The White Queen,,,STRZ,2013
Wilfred,SEASON 4,Ending after a 4th season (1st on FXX),FXX,2013
Witches of East End,,Renewed on 11/22,LIFE,2013
Witches of East End,SEASON 2,Canceled 11/4/14,LIFE,2013
Workaholics,SEASON 4,,COM,2013
The Writers' Room,SEASON 2,,SUND,2013
The Wrong Mans,,,HULU,2013
Years of Living Dangerously,,,SHO,2013
Young & Hungry,,,ABCF,2013
A Young Doctor's Notebook,,Season  2 to air in August,OVTN,2013
You're the Worst,,"Renewed 9/30/14, but moving to FXX",FX,2013
20/20,SEASON 37,Renewed 5/7,ABC,2014
500 Questions,,Renewed 10/1/15,ABC,2014
Agent Carter,,Renewed 5/7,ABC,2014
America's Funniest Home Videos,SEASON 25,Renewed 5/7,ABC,2014
American Crime,,Renewed 5/7,ABC,2014
The Astronaut Wives Club,,,ABC,2014
The Bachelor,SEASON 19,Renewed 5/7,ABC,2014
The Bachelorette,SEASON 11,Renewed 5/7,ABC,2014
Bachelor in Paradise,SEASON 2 starts 8/2,,ABC,2014
BattleBots,SEASON 6,Renewed 11/5/15,ABC,2014
Beyond the Tank,,Renewed 5/7,ABC,2014
Black-ish,,Renewed 5/7,ABC,2014
Castle,SEASON 7,Renewed 5/7,ABC,2014
Celebrity  Family Feud,SEASON 2,Renewed 1/9/16,ABC,2014
Celebrity Wife Swap,SEASON 4,,ABC,2014
Cristela,,Canceled 5/7,ABC,2014
Dancing with the Stars,SEASONS 19/20,Renewed 5/7,ABC,2014
Extreme Weight Loss,SEASON 5,,ABC,2014
Forever,,Canceled 5/7,ABC,2014
Fresh Off the Boat,,Renewed 5/7,ABC,2014
Galavant,,Renewed 5/7,ABC,2014
The Goldbergs,SEASON 2,Renewed 5/7,ABC,2014
The Great Christmas Light Fight,SEASON 2,,ABC,2014
Grey's Anatomy,SEASON 11,Renewed 5/7,ABC,2014
How to Get Away With Murder,,Renewed 5/7,ABC,2014
In an Instant,,Omitted from 2015-16 plans; presumed canceled,ABC,2014
Last Man Standing,SEASON 4,Renewed 5/10,ABC,2014
Manhattan Love Story,,Canceled 10/24; 1st cancellation of the fall,ABC,2014
Marvel's Agents of S.H.I.E.L.D.,SEASON 2,Renewed 5/7,ABC,2014
Members Only,,Canceled 11/23 before any episodes aired,ABC,2014
The Middle,SEASON 6,Renewed 5/7,ABC,2014
Mistresses,SEASON 3,Renewed 9/25/15,ABC,2014
Modern Family,SEASON 6,Renewed 5/7,ABC,2014
Nashville,SEASON 3,Renewed 5/7,ABC,2014
Once Upon a Time,SEASON 4,Renewed 5/7,ABC,2014
Repeat After Me,,Omitted from 2015-16 plans; presumed canceled,ABC,2014
Resurrection,SEASON 2,Canceled 5/7,ABC,2014
Revenge,SEASON 4,Canceled 4/29,ABC,2014
Rookie Blue,SEASON 6,Canceled 10/16/15,ABC,2014
Scandal,SEASON 4,Renewed 5/7,ABC,2014
Secrets & Lies,,Renewed 5/7,ABC,2014
Selfie,,Canceled 11/7; remaining eps pulled from schedule,ABC,2014
Shark Tank,SEASON 6,Renewed 5/7,ABC,2014
The Taste,SEASON 3,Canceled 5/7,ABC,2014
The Whispers,,Canceled 10/22/15,ABC,2014
2 Broke Girls,SEASON 4,Renewed for a 5th season on 3/12,CBS,2014
48 Hours,SEASON 27,Renewed 5/11,CBS,2014
60 Minutes,SEASON 47,Renewed 5/11,CBS,2014
The Amazing Race,SEASON 25 / SEASON 26,Renewed 5/11,CBS,2014
Battle Creek,,Canceled 5/8,CBS,2014
The Big Bang Theory,SEASON 8,Already renewed through 2016-17,CBS,2014
Big Brother,SEASON 17,Already renewed through season 18,CBS,2014
Blue Bloods,SEASON 5,Renewed 5/11,CBS,2014
The Briefcase,,Confirmed as canceled on 8/10/15,CBS,2014
Criminal Minds,SEASON 10,Renewed 5/11,CBS,2014
CSI: Crime Scene Investigation,SEASON 15,Canceled 5/13; TV movie to air in September,CBS,2014
CSI: Cyber,,Renewed 5/11,CBS,2014
The Dovekeepers,,Miniseries,CBS,2014
Elementary,SEASON 3,Renewed 5/11,CBS,2014
Extant,SEASON 2,,CBS,2014
The Good Wife,SEASON 6,Renewed 5/11,CBS,2014
Hawaii Five-0,SEASON 5,Renewed 5/11,CBS,2014
The Late Late Show With James Corden,,,CBS,2014
Madam Secretary,,Renewed for a 2nd season on 1/12,CBS,2014
The McCarthys,,Canceled 5/8,CBS,2014
The Mentalist,SEASON 7,Ending after this 7th season,CBS,2014
Mike & Molly,SEASON 5,Renewed for a 6th season on 3/12,CBS,2014
The Millers,SEASON 2,Canceled 11/14,CBS,2014
Mom,SEASON 2,Renewed for a 3rd season on 3/12,CBS,2014
NCIS,SEASON 12,Renewed 5/11,CBS,2014
NCIS: Los Angeles,SEASON 6,Renewed 5/11,CBS,2014
NCIS: New Orleans,,Renewed for a 2nd season on 1/12,CBS,2014
The Odd Couple,,Renewed 5/11,CBS,2014
Person of Interest,SEASON 4,Renewed 5/11,CBS,2014
Scorpion,,Renewed for a 2nd season on 1/12,CBS,2014
Stalker,,Canceled 5/8,CBS,2014
